NAME,QUANTITY,CALORIES,PROTEIN,FAT,CARBS
Chicken Bhuna,100 gm/half cup,227.5,24.0,15.0,6.5
Chicken Korma,100 gm,250,20.0,15.0,6.0
Fried Chicken,One/128 gm,390,34.0,23.0,12.0
Chicken Cutlet,One,375,20.0,25.0,15.0
Fish Curry,100 gm,411.5,28.5,27.5,4.5
Prawn Curry,100 gm,261,24.0,16.0,5.0
Fish Cutlet,One,228,14.0,15.0,10.0
Fish Finger,Three,162,9.0,8.0,12.0
Beef Bhuna,One Cup,434,30.0,30.0,5.0
Beef Korma,115 gm,167,18.0,10.0,3.0
Beef Seekh Kebab,One Skewer,160,15.0,10.0,4.0
Beef Shami Kebab,One,210,12.0,15.0,6.0
Cooked Beef Keema,250 gm/one cup,555,35.0,45.0,10.0
Beef Cutlet,One,500,30.0,35.0,20.0
Mutton Korma,114 gm,143,15.0,8.0,2.0
Mutton Rezala,100 gm,323,25.0,22.0,5.0
Cooked Mutton Keema,100 gm,175,12.0,10.0,8.0
Beef Liver Curry,100 gm,135,20.0,5.0,2.0
Chicken Liver Curry,100 gm,172,18.0,10.0,3.0
Mixed Vegetable Curry,One Cup,293.5,9.5,15.0,35.0
Mixed Boiled Vegetables,One Cup,50,3.0,0.3,10.0
Mixed Fried Vegetables,One Cup,110,4.0,5.0,15.0
Mixed Vegetable Korma,1/2 Cup,173,5.0,9.0,20.0
Mixed Vegetable Curry (Labra),200 gm,190,6.0,7.0,25.0
Vegetable Kofta Curry,100 gm,147,6.0,8.0,15.0
Mixed Vegetable Stir Fry,One Cup/207 gm,76,3.0,5.0,13.0
Fried Red Spinach,1/2 Cup,50,2.0,2.0,6.0
Boiled Spinach,One Cup,41,5.0,0.5,7.0
Eggplant Mash,100 gm,70,1.5,5.0,10.0
Mashed Potato,100 gm,150,2.0,6.0,20.0
Fried Okra,One Cup,130,2.0,8.0,15.0
Dum Aloo,100 gm,105,2.0,4.0,15.0
Fried Eggplant,One Piece,114,1.0,7.0,10.0
Potato Chips,One Handful,160,2.0,10.0,15.0
French Fries,100 gm,294,3.0,15.0,40.0
Beef Burger,One,385,20.0,22.5,32.5
Chicken Burger,One,330,25.0,17.5,30.0
Chicken Sandwich,One,275,15.0,10.0,30.0
Pizza,Small Size,1995,75.0,100.0,250.0
Hot Dog,One,250,10.0,15.0,20.0
Chicken Roll,One,235,15.0,10.0,25.0
Chicken Shawarma,One,475,30.0,25.0,40.0
Fuchka,One,50,1.0,2.0,8.0
Chotpoti,1/2 Cup,500,10.0,15.0,80.0
Fried Papad,One,43,2.0,3.0,4.0
Grilled/Microwaved Papad,One,30,1.5,1.0,4.0
Nimki,One,163,3.0,9.0,18.0
Cream Biscuit,One,105,1.5,5.0,15.0
Energy/Glucose Biscuit,One,28,0.8,1.5,6.5
Toast Biscuit,One Medium Size,88,1.5,3.0,15.0
Digestive Biscuit,One,74,1.0,3.0,10.0
Marie Biscuit,One,22,0.5,1.0,3.5
Salted Biscuit,One,40,1.0,2.0,6.0
Chanachur,20 gm,110,3.0,7.0,10.0
Piyaju/Pakora,One,135.5,3.5,6.5,14.0
Dal Puri,One,124,4.0,5.0,15.0
